[event_chain, character_velocity] | 6●/4✦ | Ancient | R | When you play 2 cards in a turn, reclaim this character.
[trigger_reuse, judgment_engines, materialize_value] | 3●/1✦ | Explorer | R | ▸ Materialized: Gain the ▸ Judgment: ability of a chosen ally.
[event_chain, character_velocity] | 2●/0✦ | Explorer | R | ▸ Materialized: This character gains +2 spark for each card you played this turn.
[spark_tall, point_pressure, judgment_bodies] | 3●/2✦ | Musician | R | ▸ Judgment: With no allies, gain 1✪ and draw a card.
[discard_velocity] | 1●/0✦ | Outsider | R | When you discard a card, this character gains +1 spark. With 4 or more spark, the opponent's characters cost 2● more.
[discover_toolbox, prevent_control, fast_tempo, materialize_tempo] | 3●/1✦ | Detective | R | ↯fast -- ▸ Materialized: Look at the opponent's hand. Gain a copy of a card there.
[materialize_value, materialize_tempo] | 4●/1✦ | Synth | R | The ▸ Materialized: ability of allies triggers an additional time.
[trigger_reuse, survivor_dissolve] | 5●/2✦ | Ancient | R | ▸ Materialized: Trigger the ▸ Dissolved: ability of each ally.
[discard_velocity, character_velocity, materialize_value] | 5●/2✦ | Tinkerer | R | When you discard a character, materialize it.
[discard_velocity, finishers, prevent_control, materialize_value] | 8●/5✦ | Ancient | R | Costs 1● less for each card you discarded this turn. ▸ Materialized: The opponent discards a card and you draw a card.
[spark_growth, character_velocity] | 4●/2✦ | Explorer | R | ▸ Materialized: Each character in your hand gains +2 spark.
[figment_swarm] | 4● | Event | R | For the rest of the game, your Figments have +2 spark.
[big_energy, resource_burst, finishers] | 5● | Event | R | Choose one: • Gain 3 maximum ●. • Your ● becomes your maximum ●.
[prevent_control, hand_disruption, point_pressure, judgment_engines] | 4●/2✦ | Outsider | R | ▸ Judgment: The opponent discards a card. If they can't, gain 2✪.
[discard_velocity] | 3●/0✦ | Explorer | R | While in hand, when you discard another card, this gains +2 spark.
[materialize_value, topdeck_setup, void_setup] | 5●/2✦ | Explorer | R | ▸ Materialized: Look at the top 3 cards of your deck. You may play one for 0●, then put the rest into your void.
[event_chain, event_setup, cost_reduction] | 3● | Event | R | Until end of turn, your events cost 1●.
[prevent_control] | 3●/1✦ | Warrior | R | When you prevent a card, draw a card and gain 2●.
[materialize_tempo, materialize_value, premium_removal] | 4●/0✦ | Mage | R | ▸ Materialized: This character becomes a copy of an enemy. Disable that enemy's abilities while in play.
[spark_disruption, sweepers] | 6●/2✦ | Ancient | R | ▸ Materialized: The spark of each enemy becomes 1.
[spirit_growth] | 7●/3✦ | Spirit Animal | R | ▸ Materialized: Materialize each Spirit Animal in your hand.
[judgment_engines, topdeck_setup, event_chain] | 5●/2✦ | Warrior | R | ▸ Judgment: Play the top event of your deck for 0●, with targets chosen randomly.
[event_chain] | 5●/1✦ | Tinkerer | R | When you play an event, draw an event with lower cost.
[survivor_dissolve, abandon_furnace, spark_tall] | 5●/2✦ | Ancient | R | ▸ Dissolved: Dissolve each enemy with spark less than this character's spark.
[survivor_dissolve, character_tutors, finishers] | 4●/2✦ | Explorer | R | ▸ Materialized: Draw a character with cost 5● or more. ▸ Dissolved: Materialize it from your hand.
[void_recursion, void_setup] | 6● | Event | R | Put your deck into your void.
[copy_effects, fast_setup] | 1● | Fast Event | R | Play a copy of the last event the opponent played.
[survivor_dissolve, abandon_furnace, spark_tall] | 4●/1✦ | Ancient | R | While in hand, when an ally is dissolved, this character gains +2 spark.
[warrior_bastion, survivor_dissolve, void_denial] | 4●/2✦ | Warrior | R | When an enemy is dissolved, banish it. ▸ Dissolved: Materialize each enemy banished this way.
[materialize_value, survivor_dissolve, materialize_tempo] | 4● | Event | R | Dissolve all characters, then materialize them with 1 spark.
[spark_disruption, materialize_tempo, warrior_pressure] | 6●/1✦ | Warrior | R | ▸ Materialized: Swap this character's spark with an enemy's spark.
[spark_tall, spirit_growth, survivor_dissolve] | 4●/2✦ | Spirit Animal | R | ▸ Dissolved: The ally with the most spark gains +3 spark and this ability.
[prevent_control] | 4● | Event | R | For the rest of the game, when you prevent a card, gain 1✪ and draw a card.
[materialize_value, void_recursion, copy_effects] | 4●/2✦ | Tinkerer | R | ▸ Materialized: Gain the abilities of a chosen character in your void.
[event_chain] | 3●/1✦ | Tinkerer | R | When you play an event from your void, copy it.
[judgment_engines, void_recursion] | 3●/1✦ | Survivor | R | ▸ Judgment: Become a copy of a random character in your void.
[survivor_dissolve, abandon_furnace, trigger_reuse] | 4●/1✦ | Ancient | R | Allied ▸ Dissolved: abilities trigger an additional time.
[event_chain] | 3●/1✦ | Musician | R | When you play your second event each turn, copy it.
[judgment_engines, premium_removal, void_denial] | 6●/2✦ | Ancient | R | ▸ Judgment: Banish an enemy until this character leaves play.
[abandon_furnace, survivor_dissolve, ally_formation] | 4● | Event | R | Each ally gains '▸ Dissolved: Materialize a character with equal cost from your deck.'
[spirit_growth, big_energy, judgment_engines] | 3●/1✦ | Spirit Animal | R | ▸ Judgment: Gain +1 spark. You may abandon this character to gain maximum ● equal to its spark.
[materialize_tempo, premium_removal] | 5●/2✦ | Outsider | R | ▸ Materialized: If you drew this character this turn, banish an enemy.
[prevent_control, hand_disruption] | 3●/2✦ | Outsider | R | ▸ Materialized: The opponent discards a card. They can't play cards with that cost until your next turn.
[event_chain] | 4●/1✦ | Tinkerer | R | At end of turn, play a random event with cost 2● or less from your void for 0●.
[prevent_control] | 5●/2✦ | Outsider | R | When you prevent a character, materialize a copy of it.
[figment_swarm, character_velocity, warrior_pressure] | 3●/1✦ | Warrior | R | When you draw a character, materialize a Warrior figment.
[warrior_pressure, warrior_bastion, character_velocity] | 5●/2✦ | Warrior | R | When you draw a Warrior, materialize a copy of it with 1 spark.
[ally_formation, abandon_furnace] | 5●/2✦ | Ancient | R | ▸ Materialized: Abandon an ally. Each other ally gains that ally's spark.
[warrior_pressure, warrior_bastion, ally_formation] | 4● | Event | R | Materialize a 0 spark copy of each allied Warrior.
[discard_velocity, character_velocity, spark_tall] | 3●/0✦ | Outsider | R | Discard a character: Play this character for 0● and it gains that character's spark.
[event_chain, character_velocity, materialize_value] | 5●/2✦ | Warrior | R | When you play an event, materialize a random character with equal cost from your deck.
[character_velocity, cost_reduction, go_wide_enablers] | 3● | Event | R | Until end of turn, characters in hand cost 1● and have 1 spark.
[figment_swarm, survivor_dissolve] | 4●/2✦ | Monster | R | ▸ Materialized: Materialize 2 Warrior Figments. Each gains '▸ Dissolved: Dissolve a random enemy.'
[figment_swarm, warrior_pressure] | 4●/2✦ | Warrior | R | ▸ Materialized: Each enemy gains '▸ Dissolved: The opponent materializes a Warrior figment.'
[materialize_value, trigger_reuse, materialize_tempo] | 5●/1✦ | Warrior | R | ▸ Materialized: Banish an ally. At end of turn, materialize it and a copy of it.
[abandon_furnace, spark_tall] | 4●/2✦ | Ancient | R | Abandon an ally: This character gains spark equal to that ally's cost.
[sweepers, discard_velocity, survivor_dissolve, finishers] | 7●/3✦ | Ancient | R | ▸ Materialized: Dissolve all other characters. Discard a card for each ally dissolved.
[judgment_engines, void_setup, void_recursion] | 4●/2✦ | Survivor | R | ▸ Judgment: Put the top cards 2 of your deck into your void. Materialize a copy of a random character from among them with 1 spark.
[void_recursion, character_velocity] | 5●/2✦ | Survivor | R | ▸ Materialized: Put 3 characters from your void into your deck. They cost 0●.
[warrior_pressure, warrior_bastion, character_velocity] | 3●/2✦ | Warrior | R | ▸ Dissolved: Materialize a Warrior from hand. It gains +3 spark.
[event_chain, reclaim_events, materialize_value] | 5●/2✦ | Spirit Animal | R | ▸ Materialized: Return each event played last turn from your void to hand.
[void_recursion, materialize_value, finishers] | 6●/2✦ | Ancient | R | ▸ Materialized: Materialize a random 1-spark, a 2-spark, and a 3-spark character from your void.
[spirit_growth, defensive_curve, spark_tall] | 3●/0✦ | Spirit Animal | R | When the opponent would dissolve an ally, dissolve this character instead. ▸ Dissolved: Kindle 2.
[ally_formation, spark_tall] | 4●/2✦ | Explorer | R | ▸ Materialized: Choose an ally. Each other ally's spark becomes equal to that ally's spark.
[judgment_engines, spark_disruption, warrior_bastion] | 5●/2✦ | Warrior | R | ▸ Judgment: Each enemy loses 1 spark.
[ally_formation, spark_tall, warrior_pressure] | 4●/2✦ | Warrior | R | When you kindle, each other allied character also gains +1 spark.
[spark_disruption, spark_tall] | 4●/0✦ | Survivor | R | ▸ Materialized: Choose an enemy. This character gains spark equal to its spark. Its spark becomes 0.
[spark_tall, character_velocity] | 6●/2✦ | Guide | R | ▸ Materialized: Each character in your deck gains +2 spark.
[spark_tall, judgment_engines, warrior_pressure] | 4●/1✦ | Warrior | R | ▸ Judgment: Double this character's spark.
[materialize_value, survivor_dissolve, copy_effects] | 3●/1✦ | Monster | R | ▸ Materialized: Choose an enemy. ▸ Dissolved: Materialize a copy of it.
[point_pressure, card_flow, midcurve_glue] | 3● | Event | R | Secretly choose 1, 2, or 3. After that many turns, gain that many ✪ and draw that many cards.
[topdeck_setup, materialize_value, resource_burst] | 3●/0✦ | Explorer | R | ▸ Materialized: Banish the top card of your deck. ▸ Banished: Play the card you banished for 0●.
[spirit_growth, spark_growth, judgment_engines] | 4●/1✦ | Spirit Animal | R | ▸ Judgment: Each character in your hand gains +1 spark.
[materialize_value, materialized_staples, materialize_tempo] | 4●/2✦ | Ancient | R | ▸ Materialized: The opponent chooses — you draw 2 cards, or they abandon a character.
[judgment_engines, sweepers] | 4●/3✦ | Ancient | R | ▸ Judgment: Lose 1 spark. If this has 0 spark, dissolve all enemies.
[spirit_growth, survivor_dissolve, topdeck_setup] | 2●/2✦ | Spirit Animal | R | ▸ Dissolved: You may put this card on top of your deck with +3 spark.
[materialize_value, spark_disruption, materialized_staples] | 6●/2✦ | Ancient | R | ▸ Materialized: Each enemy loses 1 spark.
[defensive_curve] | 5●/0✦ | Outsider | R | This character's spark is equal to the highest enemy's spark.
[big_energy, spark_tall, resource_burst] | 4●/1✦ | Explorer | R | At the end of your turn, this character gains +1 spark for each unspent ● you have.
[materialize_tempo, bounce_blink_tools, spirit_growth, spark_growth] | 5●/2✦ | Spirit Animal | R | ▸ Materialized: Return each other ally to hand, they gain +2 spark.
[abandon_furnace, character_velocity, ally_formation] | 5●/2✦ | Explorer | R | ▸ Materialized: Banish each ally. For each, materialize a character with cost 1● higher from your deck.
[spirit_growth, topdeck_setup, character_velocity, finishers] | 5●/1✦ | Explorer | R | ▸ Materialized: Reveal the top card of your deck. You may play it. If you do, this character gains +2 spark and you repeat this process.
[discard_velocity] | 4●/2✦ | Tinkerer | R | When you discard a character, it gains +3 spark and is put into your deck instead.
[discard_velocity] | 4●/2✦ | Outsider | R | When you discard a card, reveal the top of your deck. If it costs less, play it for 0●.
[spark_disruption, prevent_control, materialize_value] | 4●/2✦ | Explorer | R | ▸ Materialized: Choose an enemy. It cannot gain spark while this character is in play.
[judgment_engines, warrior_bastion, spark_disruption, premium_removal] | 3●/2✦ | Warrior | R | ▸ Materialized: Choose an enemy. ▸ Judgment: It loses 2 spark. At 0, dissolve it and draw 2.
[judgment_engines] | 7●/7✦ | Ancient | L | ▸ Materialized: For the rest of the game, ▸ Judgment: abilities trigger twice.
[judgment_engines, spark_tall, spark_disruption, finishers] | 7●/3✦ | Ancient | R | ▸ Judgment: Each enemy loses 1 spark. This character gains +1 spark for each.
[judgment_engines, survivor_dissolve] | 4●/1✦ | Tinkerer | R | ▸ Judgment: Banish the top card of your deck. ▸ Dissolved: Play each card banished this way for 0●.
[judgment_engines, materialize_value, ally_formation] | 4●/1✦ | Spirit Animal | R | ▸ Materialized: Choose an ally. ▸ Judgment: Materialize a copy of it with 1 spark.
[void_recursion, judgment_engines, survivor_dissolve] | 5●/2✦ | Ancient | R | ▸ Materialized, Judgment: Each character in your void gains +2 spark.
[materialize_tempo, spark_disruption, discard_velocity] | 3●/1✦ | Synth | R | ▸ Materialized: An enemy's spark becomes 0 until your next turn. Discard a card.
[abandon_furnace, judgment_engines, ally_formation, figment_swarm] | 4●/2✦ | Ancient | R | ▸ Judgment: You may abandon an ally to play the top card of the opponent's deck for 0●.
[spirit_growth, spark_growth, judgment_bodies, ally_formation] | 2●/1✦ | Spirit Animal | R | ▸ Materialized: Choose an ally. ▸ Judgment: That ally and this character each gain +1 spark.
[abandon_furnace, ally_formation] | 4●/1✦ | Ancient | R | When you abandon an ally, this character becomes a copy of that ally. It keeps this ability.
[event_chain, copy_effects] | 4●/2✦ | Explorer | R | ▸ Materialized: Choose an event in hand. At the beginning of each turn, play a copy of it for 0●.
[void_recursion] | 3●/1✦ | Child | R | When a character enters your void from your deck, add it to your hand.
[character_velocity, cost_reduction, warrior_bastion] | 4●/2✦ | Warrior | R | ▸ Dissolved: For the rest of the game, your first character each turn costs 2● less.
[abandon_furnace] | 7●/4✦ | Synth | R | ▸ Dissolved: Materialize each character abandoned this turn from your void with +3 spark.
[warrior_pressure, spark_tall, spark_disruption] | 4●/1✦ | Warrior | R | ▸ Materialized: An enemy loses all spark. This character gains that much spark.
[void_recursion, judgment_engines, hand_cycling] | 3●/2✦ | Explorer | U | ▸ Judgment: You may swap a card in your hand with a card in your void.
[figment_swarm] | 5●/1✦ | Synth | R | When you materialize a Figment, this character gains +2 spark.
[abandon_furnace, premium_removal, warrior_bastion] | 4●/2✦ | Warrior | R | Abandon this character: Dissolve an enemy.
[event_chain, spark_disruption, prevent_control] | 4●/2✦ | Renegade | R | When you play an event, the enemy with the most spark loses 1 spark.
[event_chain] | 5●/2✦ | Warrior | R | ▸ Materialized: Dissolve a random enemy for each event you played this turn.
[event_chain] | 3●/1✦ | Survivor | R | ▸ Materialized: Events cost you 2● less this turn. For the rest of the game after that, events cost you 1● more.
[warrior_bastion, abandon_furnace] | 4●/2✦ | Warrior | R | When an allied Warrior is dissolved, reclaim it with 1 spark.
[premium_removal, materialize_value, materialized_staples, discover_toolbox] | 6●/3✦ | Monster | R | ▸ Materialized: Banish an enemy. Add a copy of it to your hand.
[spirit_growth, spark_tall, ally_formation] | 4●/2✦ | Spirit Animal | R | When another ally gains spark, this character gains +1 spark.
[topdeck_setup, foresee_selection, spirit_growth] | 3●/2✦ | Visionary | R | ▸ Materialized: Reorder your deck from highest cost to lowest cost.
[spark_tall, spark_growth, materialize_value] | 5●/2✦ | Tinkerer | R | ▸ Materialized: Double an ally's spark.
[event_chain, void_recursion] | 4●/2✦ | Synth | R | Events you reclaim cost 0●.
[foresee_selection, hand_cycling, topdeck_setup, card_flow] | 3● | Event | R | Swap your hand with the top 5 cards of your deck.
[character_velocity, event_chain] | 4● | Event | R | Banish your hand. For the rest of the game, cards you draw cost 1● less.
[materialize_tempo, bounce_blink_tools, character_velocity, cost_reduction] | 3● | Event | R | Return each ally to hand. They cost 2● less this turn.
[materialize_value, materialize_tempo, trigger_reuse] | 3● | Event | R | Banish all characters, then materialize them.
[spark_tall, ally_formation, abandon_furnace] | 4● | Event | R | An ally gains the total spark of your other allies. Abandon them.
[reclaim_events, event_chain] | 4● | Event | R | Return each event in your void to your hand. At end of turn, banish them.
[character_velocity, materialize_value] | 2● | Event | R | Materialize a random character from your deck with cost equal to the number of cards in your hand.
[discover_toolbox, prevent_control, event_chain] | 4● | Event | R | Look at the top 5 cards of the opponent's deck. Play one for 0●. Put the rest on the bottom.
[materialize_value, character_velocity] | 5● | Event | R | Until end of turn, when you materialize a character, materialize a copy of it.
[premium_removal, sweepers, spark_disruption] | 5● | Event | R | Dissolve an enemy. Each other enemy loses spark equal to the dissolved character's cost.
[cheap_removal, fast_interaction] | 2● | Fast Event | C | Dissolve an enemy with spark 4 or more.
[reclaim_events, void_setup, event_chain] | 2● | Event | C | Put 5 random events from your deck into your void.
[abandon_furnace, ally_formation, figment_swarm] | 4● | Event | R | Abandon all allies. Gain 2● and draw a card for each ally dissolved.
[abandon_furnace, ally_formation, character_velocity] | 5● | Event | R | Abandon any number of allies. Materialize a random character from your deck for each ally abandoned.
[discard_velocity, character_velocity] | 3● | Event | R | Until end of turn, when you discard a character, materialize it.
[character_velocity, cost_reduction, resource_burst] | 2● | Event | R | The cost of a random character in your hand becomes 0●.
[discover_toolbox, prevent_control, hand_disruption] | 4● | Event | R | Look at the opponent's hand. You may play an event from it for 0●.
[ally_formation, figment_swarm, finishers] | 6● | Event | R | Each ally becomes a copy of the ally with the most spark.
- | 2●/1✦ | Musician | Starter | Supported allies have +2 spark.
- | 3●/1✦ | Visionary | Starter | ▸ Materialized: Foresee 1.
- | 4●/4✦ | Spirit Animal | Starter | 
- | 5●/3✦ | Warrior | Starter | ▸ Judgment: Gain 1 point.
- | 3●/2✦ | Visitor | Starter | ▸ Dissolved: Draw a card.
- | 6●/6✦ | Synth | Starter | This character has +2 spark per supporting ally.
- | 2● | Event | Starter | Dissolve a character with cost 3● or less.
- | 1● | Event | Starter | Draw a card. Foresee 1.
- | 2● | Event | Starter | Discover a character.
- | 1● | Event | Starter | An ally gains +3 spark.
